,Query,Product Type,Material Type,Uniclass Products,Uniclass Systems,Uniclass Materials,Packaging Type,Item Count,Item Unit,Unit Quantity,Unit to Primary Conversion,Primary Unit Type,Product Name,Product Company Name,Product URL,Product Manufacturing Emissions Intensity Magnitude,Product Manufacturing Emissions Intensity Unit,Product Manufacturing Emissions in kg CO₂/kg,Product Match Score,Material Name,Material Data Source,Material Manufacturing Emissions Intensity Magnitude,Material Manufacturing Emissions Intensity Unit,Material ID,Material Match Score
0,"Supply and installation of sub-foundation concrete, class C12/15, not reinforced",Masonry (ICF Insulated Concrete Forms),Concrete,Insulated concrete blocks (Pr_20_93_52_42),Masonry wall systems (Ss_25_13_50),,,1,,,,,"Ready-mixed concrete (exposure classes X0, XC1) - Fabriksbeton C20/25 SCC (foundation)",Dansk Beton/Fabriksbetonforeningen,https://app.2050-materials.com/product/details_designer/dansk-beton-fabriksbetonforeningen-ready-mixed-concrete-exposure-classes-x0-xc1-fabriksbeton-c20-25-scc-foundation,215,kg CO₂/m3,0.08683245276023252,0.947571592760157,Plan blocks with integrated insulation - KLB-SK,OKOBAUDAT (English),90,kg CO₂/m3,19989,0.9943976620761636
1,"Supply and installation of concrete for foundations, Rck =300 kg/cm2 (C25/30), exposure class XC2, cast with the aid of formwork accounted for separately, reinforcements counted separately",Masonry (ICF Insulated Concrete Forms),Concrete,Insulated concrete blocks (Pr_20_93_52_42),Masonry wall systems (Ss_25_13_50),,,1,,,,,"Ready-mixed concrete (exposure classes X0, XC1) - Fabriksbeton C20/25 SCC (foundation)",Dansk Beton/Fabriksbetonforeningen,https://app.2050-materials.com/product/details_designer/dansk-beton-fabriksbetonforeningen-ready-mixed-concrete-exposure-classes-x0-xc1-fabriksbeton-c20-25-scc-foundation,215,kg CO₂/m3,0.08683245276023252,0.9478316531862631,Plan blocks with integrated insulation - KLB Kalopor,OKOBAUDAT (English),99.2,kg CO₂/m3,20006,0.9942873927179914
2,"Supply and installation of steel bars for reinforced concrete, processed and cut to size, shaped and installed, including all waste, ties, etc.; type B 450 C, in high-adhesion bars, factory-controlled, processed in factory",Reinforcement products,Steel,Prefabricated reinforcement (Pr_20_96_71_67),Structure accessory systems (Ss_20_80),,,1,,,,,For PC-strand: Prestressed steel for reinforcement of concrete,Severstal-metiz,https://app.2050-materials.com/product/details_designer/severstal-metiz-for-pc-strand-prestressed-steel-for-reinforcement-of-concrete,2.66,kg CO₂/kg,2.66,0.9963772954742754,"Reinforcement products, Steel (per kg)",2050 Materials Research (September 2023),1.7024,kg CO₂/kg,867,0.9962682139913626
3,"Anchoring of steel bars in circular section holes using two-component epoxy mortar with thixotropic or pourable consistency, including bars, cleaning of the holes, and all necessary materials; on reinforced concrete elements.",Sealants,Concrete,,,,,1,,,,,"Precast, reinforced concrete piles - 25 x 25cm, type 6, with 6 rebars + bitumen + energy pile",Centrum Pæle A/S,https://app.2050-materials.com/product/details_designer/centrum-paele-a-s-precast-reinforced-concrete-piles-30-x-30cm-type-6-with-6-rebars-bitumen-energy-pile,30,kg CO₂/m,,0.938162927858946,Concrete Block - Walls - With lightweight AAC blocks inc. mortar (per kg),IGBC Database (2023),0.257,kg CO₂/kg,2434,0.937788211350374
4,"Supply and installation of S275 steel profiles for beams, columns, and hot-rolled and/or cold-formed sections, including IPE, UPN, HE series; including base plates and stiffening plates, drilling, cutting to size, flanges, bolting, welding, and galvanizing of the profiles",Road construction,Steel,"Carbon steel beams (Pr_20_85_08_11),Metal sections (Pr_20_76_51)","Wall and barrier accessory systems (Ss_25_60),Structure accessory systems (Ss_20_80),Transport systems (Ss_80),Roof, floor and paving accessory systems (Ss_30_60)",,,1,,,,,Structura System – beams and plates,Scaffsystem,https://app.2050-materials.com/product/details_designer/scaffsystem-structura-system-beams-and-plates,2.92,kg CO₂/kg,2.92,0.9954532737847064,"Raw materials, Steel (per m3)",2050 Materials Research (September 2023),16034.3,kg CO₂/m3,865,0.9951486781686907
0,"Supply and installation of S275 steel profiles for beams, columns, and hot-rolled and/or cold-formed sections, including IPE, UPN, HE series; including base plates and stiffening plates, drilling, cutting to size, flanges, bolting, welding, and galvanizing of the profiles",Road construction,Steel,"Carbon steel beams (Pr_20_85_08_11),Metal sections (Pr_20_76_51)","Wall and barrier accessory systems (Ss_25_60),Structure accessory systems (Ss_20_80),Transport systems (Ss_80),Roof, floor and paving accessory systems (Ss_30_60)",,,1,,,,,Structura System – beams and plates,Scaffsystem,https://app.2050-materials.com/product/details_designer/scaffsystem-structura-system-beams-and-plates,2.92,kg CO₂/kg,2.92,0.9954532737847064,"Raw materials, Steel (per m3)",2050 Materials Research (September 2023),16034.3,kg CO₂/m3,865,0.9951486781686907
1,"Supply and installation of roofing metal sheet, type SAND 100 th. 0.50mm",Roof tiles,Metal (Other),,"Natural stone slate roofing systems (Ss_30_40_95_60),Unit roofing systems (Ss_30_40_95),Roof and balcony covering and finish systems (Ss_30_40)",,,1,,,,,"Insulated metal sandwich panels forwalls, ceilings and roofings",Hellas SA Saint-Gobain,https://app.2050-materials.com/product/details_designer/hellas-sa-saint-gobain-insulated-metal-sandwich-panels-forwalls-ceilings-and-roofings,74.92,kg CO₂/m2,,0.9396433845159914,"Roof tiles, Steel (per m2)",2050 Materials Research (September 2023),20.89,kg CO₂/m2,869,0.9404481393564939
2,"Supply and installation of non-woven geotextile fabric made of polypropylene fibers with a weight of 400g/m² placed between the topsoil and the subbase for the purposes of separation, mechanical protection, filtration, and reinforcement. Waste material, estimated at approximately 5%, is included, with the percentage subject to verification and confirmation or modification by the supplier at the offer stage",Reinforcement products,Polypropylene,Prefabricated reinforcement (Pr_20_96_71_67),"Groundworks and earthworks systems (Ss_15_10),Waterproofing and tanking systems (Ss_32_80),Paving systems (Ss_30_14),Substructure systems (Ss_20_05),Roof and balcony covering and finish systems (Ss_30_40),Monolithic wall structure systems (Ss_25_11),Structure accessory systems (Ss_20_80)",,,1,,1,1,m2,Geotextiles,TenCate Geosynthetics,https://app.2050-materials.com/product/details_designer/tencate-geosynthetics-geotextilien,0.396,kg CO₂/m2,1.1046881053855095,0.995935502350222,"Reinforcement products, Polypropylene (per kg)",2050 Materials Research (September 2023),3.1225,kg CO₂/kg,784,0.9960695308502646
3,"Supply and installation of concrete for slab floor, Rck =370 kg/cm2 (C30/37), exposure class XC3, cast with the aid of formwork accounted for separately, reinforcements counted separately",Rebar,Concrete,,Structure accessory systems (Ss_20_80),,,1,,1,1,m3,"Ready mixed concrete (C30/37, C35/45 SCC) - C35/45 SCC (floor)",Dansk Beton/Fabriksbetonforeningen,https://app.2050-materials.com/product/details_designer/dansk-beton-fabriksbetonforeningen-ready-mixed-concrete-c30-37-c35-45-scc-c35-45-scc-floor,300,kg CO₂/m3,0.12116156199102213,0.9597684792050776,Concrete - for RC slab (C28/35),FutureHomesHub - Tool Database 2024,181.2,kg CO₂/m3,24181,0.9612376406259694
4,"Supply and installation of steel bars for reinforced concrete, processed and cut to size, shaped and installed; type B 450 C, in high-adhesion bars, factory-controlled, processed in factory. Waste material, estimated at approximately 5%, is included, with the percentage subject to verification and confirmation or modification by the supplier at the offer stage",FF&E (Other),Steel,"Furnishings (Pr_40_50),Prefabricated reinforcement (Pr_20_96_71_67)","Shelving, storage and enclosures systems (Ss_40_15_35_80),General fittings, furnishings and equipment (FF&E) systems (Ss_40_15),Office equipment systems (Ss_40_15_58),Structure accessory systems (Ss_20_80),Meeting booth systems (Ss_40_15_58_50)",,,1,,,,,For PC-strand: Prestressed steel for reinforcement of concrete,Severstal-metiz,https://app.2050-materials.com/product/details_designer/severstal-metiz-for-pc-strand-prestressed-steel-for-reinforcement-of-concrete,2.66,kg CO₂/kg,2.66,0.9965705800568975,"Reinforcement products, Steel (per kg)",2050 Materials Research (September 2023),1.7024,kg CO₂/kg,867,0.9961915950783921
